pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
ETH/USDT,8538.12845317,12865.601392,3.1598,2024-01-02 00:00:00+00:00,2024-05-21 00:00:00+00:00,2702.11,3661.79,0.001,0.001,201600,0.3225552002199831,4154.0164995800005,mv2:exit,23.53,-0.99,27.03,-0.99,2100.0,4093.92,False,mv2:enter,1.0,False,1704153600000,1716249600000,0.0,1
ETH/USDT,11810.469861,11810.469861,3.1647,2024-05-24 00:00:00+00:00,2024-07-07 00:00:00+00:00,3731.94,3066.83,0.001,0.001,63360,-0.17986284940387115,-2126.38902676,mv2:exit,37.84,-0.99,37.84,-0.99,2810.0,3977.0,False,mv2:enter,1.0,False,1716508800000,1720310400000,0.0,6
ETH/USDT,10034.863317,10034.863317,2.9763,2024-11-12 00:00:00+00:00,2025-01-01 00:00:00+00:00,3371.59,3337.78,0.001,0.001,72000,-0.012005875894920633,-120.59780093,force_exit,33.72,-0.99,33.72,-0.99,3014.5,4107.8,False,mv2:enter,1.0,False,1731369600000,1735689600000,0.0,2
