timestamp,strategy,mode,pair,timerange,wallet,n_trades,win_rate_pct,roi_pct,max_dd_pct,sharpe,sortino,profit_factor,calmar,total_pnl,run_dir,notes
20260602_222029,BtcAiShieldV3Strategy,COOLDOWN_3,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_222029__BtcAiShieldV3Strategy__COOLDOWN_3__BTC_USDT,"AI V3 cooldown3, 20260101-20260601"
20260602_223451,BtcCalendarShieldStrategy,default,BTC/USDT,20210101-20220101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223451__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield, 20210101-20220101"
20260602_223454,BtcCalendarShieldStrategy,default,BTC/USDT,20220101-20230101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223454__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield, 20220101-20230101"
20260602_223457,BtcCalendarShieldStrategy,default,BTC/USDT,20230101-20240101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223457__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield, 20230101-20240101"
20260602_223501,BtcCalendarShieldStrategy,default,BTC/USDT,20240101-20250101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223501__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield, 20240101-20250101"
20260602_223504,BtcCalendarShieldStrategy,default,BTC/USDT,20250101-20260101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223504__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield, 20250101-20260101"
20260602_223507,BtcCalendarShieldStrategy,default,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223507__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield, 20260101-20260601"
20260602_223835,BtcCalendarShieldStrategy,default,BTC/USDT,20210101-20220101,10000.0,8,87.5,121.6,7.833,0.473,-100.0,14.301,81.257,12159.977190279998,20260602_223835__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield fixed, 20210101-20220101"
20260602_223839,BtcCalendarShieldStrategy,default,BTC/USDT,20220101-20230101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223839__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield fixed, 20220101-20230101"
20260602_223844,BtcCalendarShieldStrategy,default,BTC/USDT,20230101-20240101,10000.0,6,100.0,50.36,0.0,0.626,-100.0,0.0,-100.0,5035.966518650001,20260602_223844__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield fixed, 20230101-20240101"
20260602_223848,BtcCalendarShieldStrategy,default,BTC/USDT,20240101-20250101,10000.0,7,42.86,36.36,18.297,0.114,0.264,2.172,10.373,3636.034432799999,20260602_223848__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield fixed, 20240101-20250101"
20260602_223852,BtcCalendarShieldStrategy,default,BTC/USDT,20250101-20260101,10000.0,2,50.0,13.936,2.677,0.072,-100.0,5.448,27.254,1393.62564472,20260602_223852__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield fixed, 20250101-20260101"
20260602_223856,BtcCalendarShieldStrategy,default,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_223856__BtcCalendarShieldStrategy__default__BTC_USDT,"Calendar Shield fixed, 20260101-20260601"
20260602_225347,Btc3LayerStrategy,2021,BTC/USDT,20210101-20220101,10000.0,23,95.65,284.577,13.317,1.336,-100.0,5.816,165.955,28457.71556594,20260602_225347__Btc3LayerStrategy__2021__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225351,Btc3LayerStrategy,2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-63.382,63.382,-100.0,-100.0,0.0,-5.234,-6338.1500766,20260602_225351__Btc3LayerStrategy__2022__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225355,Btc3LayerStrategy,2023,BTC/USDT,20230101-20240101,10000.0,18,94.44,180.375,11.384,0.795,-100.0,6.008,82.934,18037.4575418,20260602_225355__Btc3LayerStrategy__2023__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225359,Btc3LayerStrategy,2024,BTC/USDT,20240101-20250101,10000.0,5,80.0,-6.772,28.899,-0.019,-100.0,0.821,-1.223,-677.2312027999997,20260602_225359__Btc3LayerStrategy__2024__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225403,Btc3LayerStrategy,2025,BTC/USDT,20250101-20260101,10000.0,2,50.0,-45.986,49.522,-0.08,-100.0,0.132,-4.86,-4598.563022,20260602_225403__Btc3LayerStrategy__2025__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225407,Btc3LayerStrategy,2026Q12,BTC/USDT,20260101-20260601,10000.0,1,0.0,-23.861,23.861,-100.0,-100.0,0.0,-12.652,-2386.1441556,20260602_225407__Btc3LayerStrategy__2026Q12__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225410,Btc3LayerStrategy,ADV_BEAR2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-63.382,63.382,-100.0,-100.0,0.0,-5.234,-6338.1500766,20260602_225410__Btc3LayerStrategy__ADV_BEAR2022__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225414,Btc3LayerStrategy,ADV_SIDE2025,BTC/USDT,20250101-20260101,10000.0,2,50.0,-45.986,49.522,-0.08,-100.0,0.132,-4.86,-4598.563022,20260602_225414__Btc3LayerStrategy__ADV_SIDE2025__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225418,Btc3LayerStrategy,ADV_BEAR26Q12,BTC/USDT,20260101-20260601,10000.0,1,0.0,-23.861,23.861,-100.0,-100.0,0.0,-12.652,-2386.1441556,20260602_225418__Btc3LayerStrategy__ADV_BEAR26Q12__BTC_USDT,Idea C backfill — AVAX_3Layer
20260602_225443,BtcDynamicRebalanceStrategy,2021,BTC/USDT,20210101-20220101,10000.0,1,100.0,271.016,0.0,-100.0,-100.0,0.0,-100.0,27101.6456704,20260602_225443__BtcDynamicRebalanceStrategy__2021__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225449,BtcDynamicRebalanceStrategy,2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-54.923,54.923,-100.0,-100.0,0.0,-5.234,-5492.288179889998,20260602_225449__BtcDynamicRebalanceStrategy__2022__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225456,BtcDynamicRebalanceStrategy,2023,BTC/USDT,20230101-20240101,10000.0,1,100.0,64.814,0.0,-100.0,-100.0,0.0,-100.0,6481.35325386,20260602_225456__BtcDynamicRebalanceStrategy__2023__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225501,BtcDynamicRebalanceStrategy,2024,BTC/USDT,20240101-20250101,10000.0,1,100.0,32.285,0.0,-100.0,-100.0,0.0,-100.0,3228.5408604000004,20260602_225501__BtcDynamicRebalanceStrategy__2024__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225506,BtcDynamicRebalanceStrategy,2025,BTC/USDT,20250101-20260101,10000.0,1,0.0,-3.084,3.084,-100.0,-100.0,0.0,-5.234,-308.40252528000013,20260602_225506__BtcDynamicRebalanceStrategy__2025__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225511,BtcDynamicRebalanceStrategy,2026Q12,BTC/USDT,20260101-20260601,10000.0,1,0.0,-24.546,24.546,-100.0,-100.0,0.0,-12.737,-2454.56967779,20260602_225511__BtcDynamicRebalanceStrategy__2026Q12__BTC_USDT,Idea C backfill — ETH_DynRebal
