source,file,strategy,coin,pair,n_trades,roi_pct,win_rate_pct,max_dd_pct,sharpe,sortino,profit_factor,timerange,score
freqtrade_zip,backtest-result-2026-06-02_21-28-00.zip,BtcPairComboStrategy,BTC,BTC/USDT,1,-7.15,0.0,0.07147812859000005,-100.0,-100.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-02_21-28-04.zip,BtcPairComboStrategy,BTC,BTC/USDT,5,44.44,60.0,0.03953100375675748,0.15032510840511204,6.947787384268165,11.260006926439443,2023-01-01 00:00:00~2024-01-01 00:00:00,45.864189076537606
freqtrade_zip,backtest-result-2026-06-02_21-28-07.zip,BtcPairComboStrategy,BTC,BTC/USDT,6,27.19,33.33333333333333,0.1266551218650661,0.11093402524444322,0.44785604414225627,2.5777257449331756,2024-01-01 00:00:00~2025-01-01 00:00:00,28.0460300087143
freqtrade_zip,backtest-result-2026-06-02_21-28-11.zip,BtcPairComboStrategy,BTC,BTC/USDT,2,1.5,50.0,0.005189412282999911,0.06189236433544098,-100.0,3.8926788469236784,2025-01-01 00:00:00~2026-01-01 00:00:00,2.1085448187884097
freqtrade_zip,backtest-result-2026-06-02_21-28-14.zip,BtcPairComboStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-02_21-28-17.zip,BtcAiShieldStrategy,BTC,BTC/USDT,8,94.16,87.5,0.06950417878315773,0.4714761897172769,-100.0,12.808792121924139,2021-01-01 00:00:00~2022-01-01 00:00:00,98.73575353960645
freqtrade_zip,backtest-result-2026-06-02_21-28-20.zip,BtcAiShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-02_21-28-23.zip,BtcAiShieldStrategy,BTC,BTC/USDT,6,42.33,100.0,0.0,0.6802817587813084,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,49.13281758781308
freqtrade_zip,backtest-result-2026-06-02_21-28-27.zip,BtcAiShieldStrategy,BTC,BTC/USDT,7,33.07,42.857142857142854,0.12570234323729512,0.13437747533470967,0.36662478854427244,2.521062268107957,2024-01-01 00:00:00~2025-01-01 00:00:00,34.162370066872505
freqtrade_zip,backtest-result-2026-06-02_21-28-30.zip,BtcAiShieldStrategy,BTC,BTC/USDT,2,12.27,50.0,0.04017748152893264,0.059280830466190905,-100.0,3.61126290448147,2025-01-01 00:00:00~2026-01-01 00:00:00,12.782453341604043
freqtrade_zip,backtest-result-2026-06-02_21-28-33.zip,BtcAiShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-02_21-28-36.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,2,47.0,100.0,0.0,3.4715998258800873,-100.0,0.0,2021-01-01 00:00:00~2022-01-01 00:00:00,81.71599825880088
freqtrade_zip,backtest-result-2026-06-02_21-28-40.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,1,-13.39,0.0,0.13385925982299995,-100.0,-100.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-02_21-28-43.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,2,73.73,100.0,0.0,0.24472430993718483,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,76.17724309937185
freqtrade_zip,backtest-result-2026-06-02_21-28-46.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,3,52.86,66.66666666666666,0.10859680081911809,0.12070696329055823,-100.0,4.847889883755846,2024-01-01 00:00:00~2025-01-01 00:00:00,53.84987603126734
freqtrade_zip,backtest-result-2026-06-02_21-28-49.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,1,9.01,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-02_21-28-52.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-49-41.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,1,-13.39,0.0,0.13385925982299995,-100.0,-100.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
