pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder,coin,open_year,open_month,open_dow,close_dow,duration_days,is_win,dur_bucket
BTC/USDT,8499.5376342,8499.5376342,0.18058,2022-03-31 00:00:00+00:00,2022-04-29 00:00:00+00:00,47067.99,39742.06,0.001,0.001,41760,-0.1573327162534505,-1338.59259823,shield:bear_rs_aggr,470.68,-0.99,470.68,-0.99,37702.26,47600.0,False,shield:bull_rs_aggr,1.0,False,1648684800000,1651190400000,0.0,4,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182840__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2022,3,Thursday,Friday,29,False,8-30d
BTC/USDT,8499.8989878,8499.8989878,0.40722,2023-01-16 00:00:00+00:00,2023-08-20 00:00:00+00:00,20872.99,26100.01,0.001,0.001,311040,0.2479219377708765,2109.41873934,shield:bear_rs_aggr,208.73,-0.99,208.73,-0.99,19549.09,31804.2,False,shield:bull_rs_aggr,1.0,False,1673827200000,1692489600000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182843__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2023,1,Monday,Sunday,216,True,120d+
BTC/USDT,10292.889661,10292.889661,0.36851,2023-10-07 00:00:00+00:00,2024-01-01 00:00:00+00:00,27931.1,42283.58,0.001,0.001,123840,0.510828335535251,5263.15759307,force_exit,279.32,-0.99,279.32,-0.99,26538.66,44700.0,False,shield:bull_rs_aggr,1.0,False,1696636800000,1704067200000,0.0,0,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182843__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2023,10,Saturday,Monday,86,True,61-120d
BTC/USDT,8499.7036245,8499.7036245,0.19239,2024-01-02 00:00:00+00:00,2024-07-10 00:00:00+00:00,44179.55,58050.0,0.001,0.001,273600,0.3113310566549309,2648.86793238,shield:bear_rs_aggr,441.8,-0.99,441.8,-0.99,38555.0,73777.0,False,shield:bull_rs_aggr,1.0,False,1704153600000,1720569600000,0.0,2,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182847__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2024,1,Tuesday,Wednesday,190,True,120d+
BTC/USDT,10751.19456,10751.19456,0.15832,2024-07-27 00:00:00+00:00,2024-08-30 00:00:00+00:00,67908.0,59359.0,0.001,0.001,48960,-0.1276373829386729,-1373.62659144,shield:bear_rs_aggr,679.09,-0.99,679.09,-0.99,49000.0,70079.99,False,shield:bull_rs_aggr,1.0,False,1722038400000,1724976000000,0.0,4,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182847__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2024,7,Saturday,Friday,34,False,31-60d
BTC/USDT,9583.65616,9583.65616,0.14552,2024-09-29 00:00:00+00:00,2025-01-01 00:00:00+00:00,65858.0,93576.0,0.001,0.001,135360,0.4180363048533962,4010.32252432,force_exit,658.59,-0.99,658.59,-0.99,58946.0,108353.0,False,shield:bull_rs_aggr,1.0,False,1727568000000,1735689600000,0.0,2,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182847__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2024,9,Sunday,Wednesday,94,True,61-120d
BTC/USDT,8499.3106314,8499.3106314,0.09066,2025-04-28 00:00:00+00:00,2025-11-06 00:00:00+00:00,93749.29,103885.16,0.001,0.001,276480,0.1059027459591873,901.00043496,shield:bear_rs_aggr,937.5,-0.99,937.5,-0.99,92800.01,126199.63,False,shield:bull_rs_aggr,1.0,False,1745798400000,1762387200000,0.0,3,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182850__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2025,4,Monday,Thursday,192,True,120d+
BTC/USDT,8499.5668654,8499.5668654,0.17719,2021-02-12 00:00:00+00:00,2021-02-23 00:00:00+00:00,47968.66,54087.67,0.001,0.001,15840,0.1253097903357723,1066.14402079,triple:lost_consensus,479.69,-0.99,479.69,-0.99,44892.56,58352.8,False,triple:tr_strict,1.0,False,1613088000000,1614038400000,0.0,1,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215109__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2021,2,Friday,Tuesday,11,True,8-30d
BTC/USDT,9406.175632,9406.175632,0.16916,2021-03-16 00:00:00+00:00,2021-03-20 00:00:00+00:00,55605.2,58030.01,0.001,0.001,5760,0.0415224821437057,390.95832748,triple:lost_consensus,556.06,-0.99,556.06,-0.99,53271.34,60129.97,False,triple:tr_strict,1.0,False,1615852800000,1616198400000,0.0,5,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215109__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2021,3,Tuesday,Saturday,4,True,0-7d
BTC/USDT,9738.4995415,9738.4995415,0.24335,2021-07-30 00:00:00+00:00,2021-08-04 00:00:00+00:00,40018.49,38207.04,0.001,0.001,7200,-0.0471728878894784,-459.85254023,triple:lost_consensus,400.19,-0.99,400.19,-0.99,37508.56,42599.0,False,triple:tr_strict,1.0,False,1627603200000,1628035200000,0.0,2,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215109__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2021,7,Friday,Wednesday,5,False,0-7d
BTC/USDT,9347.4334027,9347.4334027,0.21821,2021-08-07 00:00:00+00:00,2021-09-08 00:00:00+00:00,42836.87,46868.57,0.001,0.001,46080,0.0919314717323532,860.18263294,triple:lost_consensus,428.37,-0.99,428.37,-0.99,42446.41,52920.0,False,triple:tr_strict,1.0,False,1628294400000,1631059200000,0.0,2,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215109__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2021,8,Saturday,Wednesday,32,True,31-60d
BTC/USDT,10078.7228552,10078.7228552,0.16396,2021-11-07 00:00:00+00:00,2021-11-11 00:00:00+00:00,61470.62,64882.42,0.001,0.001,5760,0.0533940408474007,538.68188356,triple:lost_consensus,614.71,-0.99,614.71,-0.99,61322.78,69000.0,False,triple:tr_strict,1.0,False,1636243200000,1636588800000,0.0,3,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215109__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2021,11,Sunday,Thursday,4,True,0-7d
BTC/USDT,10536.4324366,10536.4324366,0.16366,2021-11-14 00:00:00+00:00,2021-11-16 00:00:00+00:00,64380.01,63606.73,0.001,0.001,2880,-0.0139851853647761,-147.50131467,triple:lost_consensus,643.81,-0.99,643.81,-0.99,58574.07,66401.82,False,triple:tr_strict,1.0,False,1636848000000,1637020800000,0.0,1,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215109__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2021,11,Sunday,Tuesday,2,False,0-7d
BTC/USDT,8499.8989878,8499.8989878,0.40722,2023-01-16 00:00:00+00:00,2023-01-19 00:00:00+00:00,20872.99,20677.47,0.001,0.001,4320,-0.01134641593613,-96.53983272,triple:lost_consensus,208.73,-0.99,208.73,-0.99,20407.15,21650.0,False,triple:tr_strict,1.0,False,1673827200000,1674086400000,0.0,3,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215116__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2023,1,Monday,Thursday,3,False,0-7d
BTC/USDT,8417.84,8417.84,0.3028,2023-04-04 00:00:00+00:00,2023-04-20 00:00:00+00:00,27800.0,28797.1,0.001,0.001,23040,0.0337972423260193,284.78427812,triple:lost_consensus,278.01,-0.99,278.01,-0.99,27662.79,31000.0,False,triple:tr_strict,1.0,False,1680566400000,1681948800000,0.0,3,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215116__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2023,4,Tuesday,Thursday,16,True,8-30d
BTC/USDT,8659.885008,8659.885008,0.28792,2023-06-29 00:00:00+00:00,2023-07-01 00:00:00+00:00,30077.4,30471.99,0.001,0.001,2880,0.0110949384951072,96.17697243,triple:lost_consensus,300.78,-0.99,300.78,-0.99,29500.0,31282.0,False,triple:tr_strict,1.0,False,1687996800000,1688169600000,0.0,5,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215116__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2023,6,Thursday,Saturday,2,True,0-7d
BTC/USDT,8741.495034,8741.495034,0.28057,2023-07-04 00:00:00+00:00,2023-07-22 00:00:00+00:00,31156.2,29901.72,0.001,0.001,25920,-0.0421817710853066,-369.10047421,triple:lost_consensus,311.57,-0.99,311.57,-0.99,29512.0,31804.2,False,triple:tr_strict,1.0,False,1688428800000,1689984000000,0.0,5,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215116__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2023,7,Tuesday,Saturday,18,False,8-30d
BTC/USDT,8427.9539564,8427.9539564,0.30547,2023-10-10 00:00:00+00:00,2023-10-12 00:00:00+00:00,27590.12,26875.52,0.001,0.001,2880,-0.0278468285985971,-234.92648105,triple:lost_consensus,275.91,-0.99,275.91,-0.99,26538.66,27735.0,False,triple:tr_strict,1.0,False,1696896000000,1697068800000,0.0,3,BtcTripleRegimeStrategy,TR_STRICT,BTC/USDT,20260602_215116__BtcTripleRegimeStrategy__TR_STRICT__BTC_USDT,BTC,2023,10,Tuesday,Thursday,2,False,0-7d
