pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder
BTC/USDT,8499.740026,8499.740026,0.28978,2021-01-02 00:00:00+00:00,2021-05-22 00:00:00+00:00,29331.7,37263.35,0.001,0.001,201600,0.2678739299885211,2279.13562341,shield:bear_rs_aggr,293.32,-0.99,293.32,-0.99,28130.0,64854.0,False,shield:bull_rs_aggr,1.0,False,1609545600000,1621641600000,0.0,5,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,10437.2223769,10437.2223769,0.26081,2021-07-30 00:00:00+00:00,2021-12-12 00:00:00+00:00,40018.49,49389.99,0.001,0.001,194400,0.231713358032602,2420.86228933,shield:bear_rs_aggr,400.19,-0.99,400.19,-0.99,37332.7,69000.0,False,shield:bull_rs_aggr,1.0,False,1627603200000,1639267200000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,12494.6686254,12494.6686254,0.26546,2022-03-31 00:00:00+00:00,2022-04-29 00:00:00+00:00,47067.99,39742.06,0.001,0.001,41760,-0.1573327162530931,-1967.78597367,shield:bear_rs_aggr,470.68,-0.99,470.68,-0.99,37702.26,47600.0,False,shield:bull_rs_aggr,1.0,False,1648684800000,1651190400000,0.0,4,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,10822.3190835,10822.3190835,0.47501,2023-01-22 00:00:00+00:00,2023-08-20 00:00:00+00:00,22783.35,26100.01,0.001,0.001,302400,0.1432849922368615,1552.22658177,shield:bear_rs_aggr,227.84,-0.99,227.84,-0.99,19549.09,31804.2,False,shield:bull_rs_aggr,1.0,False,1674345600000,1692489600000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,12141.64917,12141.64917,0.4347,2023-10-07 00:00:00+00:00,2024-07-07 00:00:00+00:00,27931.1,58230.13,0.001,0.001,394560,1.0806121521858567,13133.53405432,shield:bear_rs_aggr,279.32,-0.99,279.32,-0.99,26538.66,73777.0,False,shield:bull_rs_aggr,1.0,False,1696636800000,1720310400000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,23304.66744,23304.66744,0.34318,2024-07-27 00:00:00+00:00,2024-08-30 00:00:00+00:00,67908.0,59359.0,0.001,0.001,48960,-0.1276373829386729,-2977.52130906,shield:bear_rs_aggr,679.09,-0.99,679.09,-0.99,49000.0,70079.99,False,shield:bull_rs_aggr,1.0,False,1722038400000,1724976000000,0.0,4,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,20774.24752,20774.24752,0.31544,2024-09-29 00:00:00+00:00,2025-03-01 00:00:00+00:00,65858.0,84349.95,0.001,0.001,220320,0.2782261628255079,5785.71911225,shield:bear_rs_aggr,658.59,-0.99,658.59,-0.99,58946.0,109588.0,False,shield:bull_rs_aggr,1.0,False,1727568000000,1740787200000,0.0,5,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,25691.9929245,25691.9929245,0.27405,2025-04-28 00:00:00+00:00,2025-11-06 00:00:00+00:00,93749.29,103885.16,0.001,0.001,276480,0.1059027459596372,2723.57345248,shield:bear_rs_aggr,937.5,-0.99,937.5,-0.99,92800.01,126199.63,False,shield:bull_rs_aggr,1.0,False,1745798400000,1762387200000,0.0,3,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT
BTC/USDT,7178.933575,7178.933575,0.24475,2021-01-02 00:00:00+00:00,2021-01-12 00:00:00+00:00,29331.7,35410.37,0.001,0.001,14400,0.2048268600183492,1471.90886087,ai_shield:bearish,293.32,-0.99,293.32,-0.99,28130.0,41950.0,False,ai_shield,1.0,False,1609545600000,1610409600000,0.0,1,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,8322.6337345,8322.6337345,0.24443,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.095708772103313,-797.34560445,ai_shield:bearish,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,ai_shield,1.0,False,1610496000000,1611273600000,0.0,4,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,7817.717,7817.717,0.23726,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.0106679911889783,83.48273541,ai_shield:bearish,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,ai_shield,1.0,False,1611360000000,1611878400000,0.0,4,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,7938.0263552,7938.0263552,0.23168,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.3507968223656246,2787.41905568,ai_shield:bearish,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,ai_shield,1.0,False,1612051200000,1612828800000,0.0,1,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,10097.388153,10097.388153,0.22535,2021-02-11 00:00:00+00:00,2021-02-24 00:00:00+00:00,44807.58,48891.0,0.001,0.001,18720,0.0889522639769651,899.083722,ai_shield:bearish,448.08,-0.99,448.08,-0.99,43994.02,58352.8,False,ai_shield,1.0,False,1613001600000,1614124800000,0.0,2,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,10906.9086676,10906.9086676,0.21956,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,49676.21,56150.01,0.001,0.001,76320,0.1280615443055484,1398.15232314,ai_shield:bearish,496.77,-0.99,496.77,-0.99,43000.0,64854.0,False,ai_shield,1.0,False,1614211200000,1618790400000,0.0,0,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,11881.0894961,11881.0894961,0.29689,2021-07-30 00:00:00+00:00,2021-09-08 00:00:00+00:00,40018.49,46868.57,0.001,0.001,57600,0.1688328695937289,2007.92435196,ai_shield:bearish,400.19,-0.99,400.19,-0.99,37332.7,52920.0,False,ai_shield,1.0,False,1627603200000,1631059200000,0.0,2,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,10799.1825651,14010.1312214,0.22779,2021-09-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,47408.5,49152.46,0.001,0.001,125280,0.1115977804500279,1565.06304767,ai_shield:bearish,460.49,-0.99,474.09,-0.99,39600.0,69000.0,False,ai_shield,1.0,False,1631145600000,1638662400000,0.0,6,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,8052.547224,8052.547224,0.35344,2023-01-22 00:00:00+00:00,2023-03-14 00:00:00+00:00,22783.35,24112.27,0.001,0.001,73440,0.0562140175334861,453.11869687,ai_shield:bearish,227.84,-0.99,227.84,-0.99,19549.09,26386.87,False,ai_shield,1.0,False,1674345600000,1678752000000,0.0,1,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,8640.1092582,8640.1092582,0.35577,2023-03-16 00:00:00+00:00,2023-08-09 00:00:00+00:00,24285.66,29770.41,0.001,0.001,210240,0.2233939148184407,1932.07797948,ai_shield:bearish,242.86,-0.99,242.86,-0.99,24123.0,31804.2,False,ai_shield,1.0,False,1678924800000,1691539200000,0.0,2,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,11176.350354,11176.350354,0.40014,2023-10-07 00:00:00+00:00,2023-10-17 00:00:00+00:00,27931.1,28500.77,0.001,0.001,14400,0.0183567924141869,205.36710534,ai_shield:bearish,279.32,-0.99,279.32,-0.99,26538.66,30000.0,False,ai_shield,1.0,False,1696636800000,1697500800000,0.0,1,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,11381.808,11381.808,0.4019,2023-10-19 00:00:00+00:00,2023-10-24 00:00:00+00:00,28320.0,33069.99,0.001,0.001,7200,0.1653925174402747,1884.34834402,ai_shield:bearish,283.21,-0.99,283.21,-0.99,28100.66,35280.0,False,ai_shield,1.0,False,1697673600000,1698105600000,0.0,1,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
BTC/USDT,12410.6307705,12410.6307705,0.36585,2023-10-25 00:00:00+00:00,2023-11-10 00:00:00+00:00,33922.73,36701.1,0.001,0.001,23040,0.0797412569347703,990.62893629,ai_shield:bearish,339.23,-0.99,339.23,-0.99,33390.95,37972.24,False,ai_shield,1.0,False,1698192000000,1699574400000,0.0,4,BtcAiShieldStrategy,default,BTC/USDT,20260602_172800__BtcAiShieldStrategy__default__BTC_USDT
