pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,11518.06456965,49948.4768672,1.13019,2019-04-06 00:00:00+00:00,2019-09-27 00:00:00+00:00,10191.26,8063.49,0.001,0.001,250560,0.07216320657362725,3608.046696460002,mv2:exit,50.05,-0.99,106.96,-0.99,4861.22,13970.0,False,mv2:enter,1.0,False,1554508800000,1569542400000,0.0,4
BTC/USDT,9769.3270965,9769.3270965,1.06137,2019-10-29 00:00:00+00:00,2019-11-27 00:00:00+00:00,9204.45,7154.75,0.001,0.001,41760,-0.224238841515945,-2192.8532531,mv2:exit,92.05,-0.99,92.05,-0.99,6515.0,9550.0,False,mv2:enter,1.0,False,1572307200000,1574812800000,0.0,2
BTC/USDT,6429.4798625,9485.282027,0.73624,2020-01-17 00:00:00+00:00,2020-02-28 00:00:00+00:00,8732.86,8823.25,0.001,0.001,60480,0.03226611613522469,306.35926467,mv2:exit,87.21,-0.99,87.33,-0.99,8238.0,10500.0,False,mv2:enter,1.0,False,1579219200000,1582848000000,0.0,4
BTC/USDT,9315.70711377,10682.3282047,1.05298,2020-05-02 00:00:00+00:00,2020-09-04 00:00:00+00:00,8846.99,10138.29,0.001,0.001,180000,0.13241677475888253,1415.93396723,mv2:exit,88.26,-0.99,88.47,-0.99,8117.0,12468.0,False,mv2:enter,1.0,False,1588377600000,1599177600000,0.0,4
BTC/USDT,10526.6535,10526.6535,0.88385,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.07096675364913604,747.78946811,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3
BTC/USDT,11125.8381476,11125.8381476,0.85789,2020-10-23 00:00:00+00:00,2020-10-30 00:00:00+00:00,12968.84,13455.69,0.001,0.001,10080,0.03546697349165262,394.99440646,mv2:exit,129.69,-0.99,129.69,-0.99,12720.08,13859.48,False,mv2:enter,1.0,False,1603411200000,1604016000000,0.0,4
BTC/USDT,11304.8424468,11304.8424468,0.80404,2020-11-04 00:00:00+00:00,2020-11-06 00:00:00+00:00,14060.05,15590.02,0.001,0.001,2880,0.10660142193591862,1206.31739187,mv2:exit,140.24,-0.99,140.61,-0.99,13525.0,15960.0,False,mv2:enter,1.0,False,1604448000000,1604620800000,0.0,4
BTC/USDT,12965.1212891,12965.1212891,0.83463,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15533.97,35410.37,0.001,0.001,95040,1.274988902243247,16546.9161456,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1
BTC/USDT,26775.570577,26775.570577,0.78638,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.09570877210321763,-2565.21963927,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4
BTC/USDT,24638.033,24638.033,0.74774,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991189516996,263.10115729,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4
BTC/USDT,24767.6152943,24767.6152943,0.72287,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.3507968223657255,8697.08914356,mv2:exit,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,mv2:enter,1.0,False,1612051200000,1612828800000,0.0,1
BTC/USDT,32274.899874,32274.899874,0.7203,2021-02-11 00:00:00+00:00,2021-02-24 00:00:00+00:00,44807.58,48891.0,0.001,0.001,18720,0.08895226397679214,2873.79633883,mv2:exit,448.08,-0.99,448.08,-0.99,43994.02,58352.8,False,mv2:enter,1.0,False,1613001600000,1614124800000,0.0,2
BTC/USDT,34751.9862297,34751.9862297,0.69957,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,49676.21,56150.01,0.001,0.001,76320,0.1280615443051231,4454.84341727,mv2:exit,496.77,-0.99,496.77,-0.99,43000.0,64854.0,False,mv2:enter,1.0,False,1614211200000,1618790400000,0.0,0
BTC/USDT,37915.9185354,37915.9185354,0.94746,2021-07-30 00:00:00+00:00,2021-09-08 00:00:00+00:00,40018.49,46868.57,0.001,0.001,57600,0.16883286959337976,6407.85478293,mv2:exit,400.19,-0.99,400.19,-0.99,37332.7,52920.0,False,mv2:enter,1.0,False,1627603200000,1631059200000,0.0,2
BTC/USDT,42975.0546862,48345.2085984,0.94226,2021-09-09 00:00:00+00:00,2021-09-29 00:00:00+00:00,45608.49,41025.01,0.001,0.001,28800,-0.0984511320057466,-4764.40015408,mv2:exit,460.49,-0.99,460.49,-0.99,39600.0,48843.2,False,mv2:enter,1.0,False,1631145600000,1632873600000,0.0,2
BTC/USDT,25011.92743205,49718.3429669,0.44778,2021-10-09 00:00:00+00:00,2021-12-04 00:00:00+00:00,55857.63,53601.05,0.001,0.001,80640,0.03344190668644816,1664.3388622899997,mv2:exit,539.56,-0.99,558.58,-0.99,42000.3,69000.0,False,mv2:enter,1.0,False,1633737600000,1638576000000,0.0,5
BTC/USDT,14997.3498689,49872.3742608,0.64864,2023-01-22 00:00:00+00:00,2023-03-14 00:00:00+00:00,23121.22,24112.27,0.001,0.001,73440,0.007333133116507111,366.08648005,mv2:exit,227.84,-0.99,233.25,-0.99,19549.09,26386.87,False,mv2:enter,1.0,False,1674345600000,1678752000000,0.0,1
BTC/USDT,34468.51439555,41562.7270369,1.34125,2023-03-16 00:00:00+00:00,2023-08-09 00:00:00+00:00,25698.8,29770.41,0.001,0.001,210240,0.15200910005515628,6324.230645449999,mv2:exit,242.86,-0.99,257.48,-0.99,24123.0,31804.2,False,mv2:enter,1.0,False,1678924800000,1691539200000,0.0,2
BTC/USDT,31999.92385759,39674.1011148,1.1467,2023-10-07 00:00:00+00:00,2023-10-17 00:00:00+00:00,27906.1,28500.77,0.001,0.001,14400,0.007932735138304156,315.03886013000005,mv2:exit,279.32,-0.99,279.32,-0.99,26538.66,30000.0,False,mv2:enter,1.0,False,1696636800000,1697500800000,0.0,1
BTC/USDT,32332.6608,32332.6608,1.14169,2023-10-19 00:00:00+00:00,2023-10-20 00:00:00+00:00,28320.0,28713.71,0.001,0.001,1440,0.011876410665602492,384.37995353,mv2:exit,283.21,-0.99,283.21,-0.99,28100.66,30207.55,False,mv2:enter,1.0,False,1697673600000,1697760000000,0.0,4
BTC/USDT,40804.55391884,50803.1410629,1.1896,2023-10-25 00:00:00+00:00,2023-11-10 00:00:00+00:00,34301.07,36701.1,0.001,0.001,23040,0.062393239276271155,3172.94230886,mv2:exit,339.23,-0.99,343.02,-0.99,33390.95,37972.24,False,mv2:enter,1.0,False,1698192000000,1699574400000,0.0,4
BTC/USDT,43269.5177837,43269.5177837,1.15999,2023-11-11 00:00:00+00:00,2024-02-29 00:00:00+00:00,37301.63,62432.11,0.001,0.001,158400,0.6703658933800684,29035.41535414,mv2:exit,373.02,-0.99,373.02,-0.99,34800.0,64000.0,False,mv2:enter,1.0,False,1699660800000,1709164800000,0.0,3
BTC/USDT,70172.70658821,101027.7279689,1.13297,2024-03-01 00:00:00+00:00,2024-06-25 00:00:00+00:00,61936.95,60293.3,0.001,0.001,167040,-0.015549280278336164,-1572.4793665299999,mv2:exit,611.31,-0.99,619.37,-0.99,56552.82,73777.0,False,mv2:enter,1.0,False,1709251200000,1719273600000,0.0,1
BTC/USDT,58100.72664,67401.40632,0.85558,2024-07-27 00:00:00+00:00,2024-08-06 00:00:00+00:00,67908.0,54018.82,0.001,0.001,14400,-0.19095065902526953,-12883.21329899,mv2:exit,679.09,-0.99,679.09,-0.99,49000.0,70079.99,False,mv2:enter,1.0,False,1722038400000,1722902400000,0.0,1
BTC/USDT,59577.736478,59577.736478,0.98253,2024-08-11 00:00:00+00:00,2024-08-30 00:00:00+00:00,60637.07,59359.0,0.001,0.001,27360,-0.023033195925119737,-1373.63794275,mv2:exit,609.24,-0.99,609.24,-0.99,56078.54,65000.0,False,mv2:enter,1.0,False,1723334400000,1724976000000,0.0,4
BTC/USDT,58359.40812,58359.40812,0.88614,2024-09-29 00:00:00+00:00,2024-11-07 00:00:00+00:00,65858.0,75571.99,0.001,0.001,56160,0.1452063077072707,8482.62832726,mv2:exit,658.59,-0.99,658.59,-0.99,58946.0,76849.99,False,mv2:enter,1.0,False,1727568000000,1730937600000,0.0,3
BTC/USDT,67632.6189873,67632.6189873,0.89157,2024-11-08 00:00:00+00:00,2024-12-06 00:00:00+00:00,75857.89,96945.63,0.001,0.001,40320,0.27543664129806933,18647.12991747,mv2:exit,758.58,-0.99,758.58,-0.99,75555.0,104088.0,False,mv2:enter,1.0,False,1731024000000,1733443200000,0.0,4
BTC/USDT,83536.9431336,83536.9431336,0.83754,2024-12-07 00:00:00+00:00,2025-03-01 00:00:00+00:00,99740.84,84349.95,0.001,0.001,120960,-0.15599849939739252,-13044.66941086,mv2:exit,997.41,-0.99,997.41,-0.99,78258.52,109588.0,False,mv2:enter,1.0,False,1733529600000,1740787200000,0.0,5
BTC/USDT,68804.4789168,68804.4789168,0.73392,2025-04-28 00:00:00+00:00,2025-10-11 00:00:00+00:00,93749.29,112774.49,0.001,0.001,239040,0.2005335330395897,13811.40285138,mv2:exit,937.5,-0.99,937.5,-0.99,92800.01,126199.63,False,mv2:enter,1.0,False,1745798400000,1760140800000,0.0,5
BTC/USDT,57043.826864,71237.290496,0.51556,2025-10-12 00:00:00+00:00,2025-11-06 00:00:00+00:00,110644.4,103885.16,0.001,0.001,36000,-0.05180015575850255,-3693.79284625,mv2:exit,1106.45,-0.99,1106.45,-0.99,98944.36,116400.0,False,mv2:enter,1.0,False,1760227200000,1762387200000,0.0,3
