pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
ETH/USDT,9499.817206,9499.817206,3.0206,2022-03-27 00:00:00+00:00,2022-03-28 00:00:00+00:00,3145.01,3295.65,0.001,0.001,1440,0.045804396397455586,435.5685264,rotation:rotated_out,31.46,-0.99,31.46,-0.99,3126.02,3431.15,False,rotation:eth,1.0,False,1648339200000,1648425600000,0.0,0
BTC/USDT,9913.436792,9913.436792,0.2117,2022-03-28 00:00:00+00:00,2022-03-29 00:00:00+00:00,46827.76,47122.21,0.001,0.001,1440,0.004277371590377403,42.44585635,rotation:rotated_out,468.28,-0.99,468.28,-0.99,46663.56,48189.84,False,rotation:btc,1.0,False,1648425600000,1648512000000,0.0,1
ETH/USDT,9954.069006,9954.069006,2.9866,2022-03-29 00:00:00+00:00,2022-04-01 00:00:00+00:00,3332.91,3281.51,0.001,0.001,4320,-0.01738914748246864,-173.26586677,rotation:rotated_out,33.33,-0.99,33.33,-0.99,3210.68,3481.87,False,rotation:eth,1.0,False,1648512000000,1648771200000,0.0,4
SOL/USDT,9789.43275,9789.43275,79.725,2022-04-01 00:00:00+00:00,2022-04-07 00:00:00+00:00,122.79,112.94,0.001,0.001,8640,-0.08205598457247615,-804.08482425,rotation:rotated_out,1.23,-0.99,1.23,-0.99,110.88,143.51,False,rotation:sol,1.0,False,1648771200000,1649289600000,0.0,3
ETH/USDT,9025.525008,9025.525008,2.8272,2022-04-09 00:00:00+00:00,2022-04-11 00:00:00+00:00,3192.39,3203.04,0.001,0.001,2880,0.0013313911141515499,12.0285203,rotation:rotated_out,31.93,-0.99,31.93,-0.99,2950.0,3307.22,False,rotation:eth,1.0,False,1649462400000,1649635200000,0.0,0
BNB/USDT,9037.0112,9037.0112,28.817,2022-10-31 00:00:00+00:00,2022-11-10 00:00:00+00:00,313.6,267.1,0.001,0.001,14400,-0.1499798033599054,-1356.7245319,rotation:rotated_out,3.2,-0.99,3.2,-0.99,260.2,398.3,False,rotation:bnb,1.0,False,1667174400000,1668038400000,0.0,3
BNB/USDT,7747.9434,7747.9434,24.881,2022-11-27 00:00:00+00:00,2022-11-28 00:00:00+00:00,311.4,307.7,0.001,0.001,1440,-0.01385608611042137,-107.4635271,rotation:rotated_out,3.2,-0.99,3.2,-0.99,286.6,316.7,False,rotation:bnb,1.0,False,1669507200000,1669593600000,0.0,0
