pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,4245.64843591,6076.359565,0.20042,2023-01-16 00:00:00+00:00,2023-03-14 00:00:00+00:00,21183.76,24112.27,0.001,0.001,82080,0.13184746626284496,801.95376536,calv2:exit,208.73,-0.99,211.84,-0.99,19549.09,26386.87,False,calv2:enter,1.0,False,1673827200000,1678752000000,0.0,1
BTC/USDT,5361.95539244,7374.680294,0.20341,2023-03-16 00:00:00+00:00,2023-08-09 00:00:00+00:00,26360.33,29770.41,0.001,0.001,210240,0.1569153486628948,1158.35773014,calv2:exit,242.86,-0.99,263.61,-0.99,24123.0,31804.2,False,calv2:enter,1.0,False,1678924800000,1691539200000,0.0,2
BTC/USDT,7857.856363,7857.856363,0.28133,2023-10-07 00:00:00+00:00,2023-10-17 00:00:00+00:00,27931.1,28500.77,0.001,0.001,14400,0.01835679241365742,144.38928311,calv2:exit,279.32,-0.99,279.32,-0.99,26538.66,30000.0,False,calv2:enter,1.0,False,1696636800000,1697500800000,0.0,1
BTC/USDT,8362.0464,8362.0464,0.29527,2023-10-19 00:00:00+00:00,2023-10-24 00:00:00+00:00,28320.0,33069.99,0.001,0.001,7200,0.16539251743986436,1384.40292495,calv2:exit,283.21,-0.99,283.21,-0.99,28100.66,35280.0,False,calv2:enter,1.0,False,1697673600000,1698105600000,0.0,1
BTC/USDT,7600.0484292,8989.1842227,0.22404,2023-10-25 00:00:00+00:00,2023-11-10 00:00:00+00:00,33922.73,36701.1,0.001,0.001,23040,0.07174182322862914,645.54536594,calv2:exit,339.23,-0.99,339.23,-0.99,33390.95,37972.24,False,calv2:enter,1.0,False,1698192000000,1699574400000,0.0,4
BTC/USDT,9260.6257745,9260.6257745,0.24831,2023-11-11 00:00:00+00:00,2024-01-01 00:00:00+00:00,37294.61,42283.58,0.001,0.001,73440,0.1315064566210759,1219.04991378,force_exit,373.02,-0.99,373.02,-0.99,34800.0,44700.0,False,calv2:enter,1.0,False,1699660800000,1704067200000,0.0,0
