trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,986.58,7.602,buy,1702512000000,True,sol_vol_shield,7507.481141159999
,986.58,8.203,sell,1704067200000,False,force_exit,8101.008655739998
