pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,8473.74972707,21389.657163,0.89183,2019-04-06 00:00:00+00:00,2019-09-27 00:00:00+00:00,9501.53,8063.49,0.001,0.001,250560,0.12036970251043427,2577.24133618,mv2:exit,50.05,-0.99,96.49,-0.99,4861.22,13970.0,False,mv2:enter,1.0,False,1554508800000,1569542400000,0.0,4
BTC/USDT,8467.8668394,10348.2439299,0.9442,2019-10-29 00:00:00+00:00,2019-11-27 00:00:00+00:00,8968.3,7154.75,0.001,0.001,41760,-0.1666091189351172,-1725.83591549,mv2:exit,92.05,-0.99,92.05,-0.99,6515.0,9550.0,False,mv2:enter,1.0,False,1572307200000,1574812800000,0.0,2
BTC/USDT,7007.97779421,8390.1678073,0.80146,2020-01-17 00:00:00+00:00,2020-03-11 00:00:00+00:00,8744.01,7894.57,0.001,0.001,77760,-0.07207306515048098,-605.30981611,mv2:exit,87.21,-0.99,87.45,-0.99,7590.0,10500.0,False,mv2:enter,1.0,False,1579219200000,1583884800000,0.0,2
BTC/USDT,7722.9953813,7722.9953813,0.87784,2020-05-02 00:00:00+00:00,2020-09-04 00:00:00+00:00,8797.73,10138.29,0.001,0.001,180000,0.150073804774667,1160.17832043,mv2:exit,88.26,-0.99,88.26,-0.99,8117.0,12468.0,False,mv2:enter,1.0,False,1588377600000,1599177600000,0.0,4
BTC/USDT,8888.9094,8888.9094,0.74634,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.07096675364993525,631.44786065,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3
BTC/USDT,8889.4116363,10244.7851047,0.67991,2020-10-23 00:00:00+00:00,2020-11-06 00:00:00+00:00,13074.39,15590.02,0.001,0.001,20160,0.17269144249307758,1770.95590448,mv2:exit,129.69,-0.99,130.75,-0.99,12720.08,15960.0,False,mv2:enter,1.0,False,1603411200000,1604620800000,0.0,4
BTC/USDT,11274.3294417,11274.3294417,0.72761,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15495.02,35410.37,0.001,0.001,95040,1.280708670828855,14453.57060524,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1
BTC/USDT,23267.827144,23267.827144,0.68336,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.09570877210331985,-2229.16210063,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4
BTC/USDT,21474.833,21474.833,0.65174,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991189536107,229.32242257,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4
BTC/USDT,21807.3015983,21807.3015983,0.63647,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.35079682236573917,7657.58203716,mv2:exit,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,mv2:enter,1.0,False,1612051200000,1612828800000,0.0,1
